period_index,date,YrSold,MoSold,n_available,median_interval_width,empirical_coverage,is_crash,mean_predicted_arv,mean_actual_price,prediction_bias_pct,conservative_flip__buy_all_n_bought,conservative_flip__buy_all_n_profitable,conservative_flip__buy_all_realized_profit,conservative_flip__naive_point_n_bought,conservative_flip__naive_point_n_profitable,conservative_flip__naive_point_realized_profit,conservative_flip__uncertainty_aware_n_bought,conservative_flip__uncertainty_aware_n_profitable,conservative_flip__uncertainty_aware_realized_profit,ibuyer__buy_all_n_bought,ibuyer__buy_all_n_profitable,ibuyer__buy_all_realized_profit,ibuyer__naive_point_n_bought,ibuyer__naive_point_n_profitable,ibuyer__naive_point_realized_profit,ibuyer__uncertainty_aware_n_bought,ibuyer__uncertainty_aware_n_profitable,ibuyer__uncertainty_aware_realized_profit,conservative_flip__buy_all_cum_profit,conservative_flip__naive_point_cum_profit,conservative_flip__uncertainty_aware_cum_profit,ibuyer__buy_all_cum_profit,ibuyer__naive_point_cum_profit,ibuyer__uncertainty_aware_cum_profit
23,2008-12,2008,12,27,76605.07276601347,1.0,True,185598.29752050707,179951.44444444444,0.031379870795124165,27,26,1028162.8571337591,27,26,1028162.8571337591,11,11,357984.0401303998,27,21,207335.82651956443,9,5,26644.115458612,4,4,30713.040357935624,57869681.20804874,57844383.284144916,19545335.618193153,18900580.395487726,7693220.462686633,2848101.3228313555
24,2009-01,2009,1,19,91772.4344899306,0.9473684210526315,True,202828.7931417645,205738.2105263158,-0.014141356518599369,19,19,963221.7399262695,17,17,926138.9460215583,4,4,103229.32735770488,19,15,331977.9699104703,9,6,220031.35611053288,2,1,-12317.518580269318,58832902.94797501,58770522.23016647,19648564.94555086,19232558.365398195,7913251.8187971655,2835783.804251086
25,2009-02,2009,2,27,58611.5618225753,0.8888888888888888,True,183763.8743012996,185471.96296296295,-0.009209417069707945,27,27,1215077.151070339,27,27,1215077.151070339,14,14,417400.79178018164,27,21,402363.0405854113,8,5,158114.5126645466,5,3,-8939.67785608453,60047980.09904535,59985599.381236814,20065965.73733104,19634921.405983604,8071366.331461712,2826844.1263950015
26,2009-03,2009,3,45,59138.242950465836,0.8888888888888888,True,181559.13243125327,178746.11111111112,0.01573752459651292,45,43,1798303.9626297501,44,42,1786415.004948632,23,23,774459.7653824551,45,34,460031.59747898276,11,7,174416.82980821453,13,11,132367.18020093444,61846284.0616751,61772014.386185445,20840425.502713494,20094953.003462587,8245783.1612699265,2959211.306595936
27,2009-04,2009,4,48,62772.64565003245,0.8541666666666666,True,188137.90497710454,181865.625,0.03448854052053289,48,47,1826544.5009040628,48,47,1826544.5009040628,22,21,616757.0017661169,48,34,347329.03681207576,13,8,134316.00794686828,10,7,828.0362422684848,63672828.56257916,63598558.887089506,21457182.50447961,20442282.04027466,8380099.169216795,2960039.3428382045
28,2009-05,2009,5,69,63022.59294693582,0.8985507246376812,True,181152.92530036505,175218.39130434784,0.03386935556159255,69,65,2535411.5691276663,69,65,2535411.5691276663,32,31,1031252.3592146735,69,49,487984.9767978803,20,13,135128.15689181868,15,13,147269.72013804942,66208240.13170683,66133970.45621717,22488434.863694284,20930267.01707254,8515227.326108614,3107309.0629762537
29,2009-06,2009,6,112,73488.2200587561,0.9196428571428571,True,185469.63387850858,184545.38392857142,0.005008252876673929,112,109,4790508.328686026,109,106,4740233.660724342,36,36,1382928.972435181,112,90,1387956.6134044575,35,25,484059.0008824388,19,18,225303.25670521305,70998748.46039285,70874204.11694151,23871363.836129464,22318223.630476996,8999286.326991053,3332612.3196814666
30,2009-07,2009,7,110,65669.33182905673,0.8909090909090909,True,193494.24549107318,198337.29090909092,-0.024418229148030393,110,110,5547331.862128604,110,110,5547331.862128604,51,51,1879287.248317989,110,95,2060952.546870448,32,29,1002267.3602029623,22,19,201085.15457265583,76546080.32252145,76421535.97907011,25750651.084447455,24379176.177347444,10001553.687194016,3533697.4742541225
31,2009-08,2009,8,62,62567.24129308313,0.9032258064516129,True,166312.91288757298,163675.46774193548,0.016113869610538786,62,60,2265844.382101832,62,60,2265844.382101832,28,27,964877.4639031674,62,48,576836.9639807964,12,6,-25938.72094496029,10,10,193515.3806014924,78811924.70462328,78687380.36117195,26715528.54835062,24956013.14132824,9975614.966249056,3727212.8548556147
32,2009-09,2009,9,45,68980.63781516005,0.9555555555555556,True,184965.6500260431,181447.48888888888,0.0193894176144184,45,43,1802688.57040417,44,42,1798828.47993428,19,18,641096.2537305432,45,37,439306.764062207,15,12,196808.77946865998,5,4,36426.93862381613,80614613.27502745,80486208.84110622,27356624.802081164,25395319.90539045,10172423.745717715,3763639.793479431
